Time,Time Code,Country Name,Region,Country Code,"Employers, female (% of female employment) (modeled ILO estimate) [SL.EMP.MPYR.FE.ZS]","Employers, male (% of male employment) (modeled ILO estimate) [SL.EMP.MPYR.MA.ZS]","Employment in industry, male (% of male employment) (modeled ILO estimate) [SL.IND.EMPL.MA.ZS]","Employment in industry, female (% of female employment) (modeled ILO estimate) [SL.IND.EMPL.FE.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"Labor force participation rate for ages 15-24, total (%) (national estimate) [SL.TLF.ACTI.1524.NE.ZS]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Literacy rate, adult female (% of females ages 15 and above) [SE.ADT.LITR.FE.ZS]","Literacy rate, adult male (% of males ages 15 and above) [SE.ADT.LITR.MA.ZS]","Population ages 65 and above, total [SP.POP.65UP.TO]",Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, female (% of female population) [SP.POP.65UP.FE.ZS]","Population ages 65 and above, male (% of male population) [SP.POP.65UP.MA.ZS]",Population growth (annual %) [SP.POP.GROW],"Pupil-teacher ratio, tertiary [SE.TER.ENRL.TC.ZS]","Pupil-teacher ratio, secondary [SE.SEC.ENRL.TC.ZS]","Pupil-teacher ratio, primary [SE.PRM.ENRL.TC.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, secondary, female (% gross) [SE.SEC.ENRR.FE]","School enrollment, secondary, male (% gross) [SE.SEC.ENRR.MA]",Start-up procedures to register a business (number) [IC.REG.PROC],"Unemployment, male (% of male labor force) (national estimate) [SL.UEM.TOTL.MA.NE.ZS]","Unemployment, female (% of female labor force) (national estimate) [SL.UEM.TOTL.FE.NE.ZS]",Urban population growth (annual %) [SP.URB.GROW],Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
2018,YR2018,Afghanistan,Eastern Mediterranean,AFG,0.143000007,0.714999974,18.55400085,15.84399986,19362969582,520.8966027,-1.350178336,..,..,..,29.80521,55.47545,960879,2.58492694,2.851686767,2.332142655,2.3847611,21.52832,..,..,..,..,..,4,..,..,3.350382976,25.495
2018,YR2018,Albania,Europe,ALB,1.016000032,3.463000059,22.51799965,15.01500034,15058879129,5253.630064,4.26134228,..,..,..,97.76112,98.51362,393976,13.74473591,14.53874158,12.97889641,-0.246732042,14.06519,11.19927,17.57287,95.43233,95.70465,95.19122,5,..,..,1.317162104,60.319
2018,YR2018,Algeria,Africa,DZA,1.92900002,4.612999916,32.37200165,22.12100029,1.81E+11,4278.85006,0.070905214,..,..,..,75.32297,87.42296,2686782,6.362496545,6.57153172,6.157732191,2.00737383,27.2934,..,24.32018,..,..,..,12,..,..,2.804995677,72.629
2018,YR2018,American Samoa,Americas,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.279065762,..,..,..,..,..,..,..,..,..,-0.299515835,87.153
2018,YR2018,Andorra,Europe,AND,..,..,..,..,3236543909,42029.76274,1.622746677,..,..,..,..,..,..,..,..,..,0.006493211,4.42958,8.01599,10.49757,..,..,..,..,..,..,-0.092859413,88.062
2018,YR2018,Angola,Africa,AGO,2.598999977,5.994999886,15.40600014,1.113999963,1.06E+11,3432.385736,-5.287779594,..,..,..,..,..,682859,2.216373648,2.430954692,1.997223494,3.276133875,..,..,..,..,..,..,7,..,..,4.311791342,65.514
2018,YR2018,Antigua and Barbuda,Americas,ATG,..,..,..,..,1623804016,16864.38336,3.99343927,..,..,..,..,..,8473,8.79982552,9.165112408,8.41034921,0.89718512,..,9.29704,12.40564,111.196,109.0701,113.2773,9,..,..,0.43158229,24.599
2018,YR2018,Argentina,Americas,ARG,2.461999893,4.815000057,31.8239994,8.975000381,5.18E+11,11652.56629,-3.499841931,39.40610123,..,..,99.06204,98.93774,4946805,11.11778888,12.83265779,9.316107913,1.015808349,..,..,..,..,..,..,11,8.202899933,10.50829983,1.147602159,91.87
2018,YR2018,Armenia,Europe,ARM,0.405999988,1.606999993,22.5529995,7.735000134,12433089919,4212.070943,4.95169918,..,..,..,..,..,332187,11.25381766,12.87714928,9.425752557,0.236306379,6.92216,8.01689,15.41859,83.15068,84.80038,81.72561,3,..,..,0.309165597,63.149
2018,YR2018,Aruba,Americas,ABW,..,..,..,..,..,..,..,..,..,..,97.81268,97.80013,14343,13.55094714,14.84119276,12.12682111,0.453575639,..,..,..,..,..,..,..,..,..,0.725179011,43.411
